zat_ori;zat_des;distance_m;duration_s;error_api
7;298;19424;2032;
7;302;20192;2307;
7;313;23661;2841;
7;314;23260;2720;
7;318;20585;2461;
7;320;19481;2217;
7;322;19564;2248;
7;323;22564;2453;
7;327;19537;2155;
7;352;20761;2145;
7;357;20049;2070;
7;399;24454;2730;
7;410;25577;2938;
7;433;21710;2276;
7;443;22667;2435;
7;446;23353;2576;
7;447;24537;2762;
7;452;23636;2618;
7;453;22381;2554;
7;459;25433;2769;
7;515;25344;2883;
7;531;28062;3350;
7;542;28778;3310;
7;593;26891;3227;
7;618;26780;3114;
7;627;28634;3423;
7;660;29053;3489;
7;725;32123;4016;
7;777;35741;4148;
7;836;8776;1328;
7;848;15115;1864;
7;849;11534;1196;
7;853;9513;1018;
7;855;4875;688;
7;906;13584;1901;
7;907;14654;1402;
7;912;27672;1743;
7;913;27413;1900;
7;926;14903;2215;
7;956;1438;267;
7;963;31151;3580;
7;969;26723;3182;
7;987;26354;3028;
7;993;21457;2341;
7;996;20151;2347;
7;1001;40525;4797;
7;1009;3958;455;
7;1011;1437;239;
7;1016;3860;440;
7;1024;7153;694;
7;1038;2397;561;
7;1059;4990;681;
7;1066;9412;1496;
7;1070;7047;1076;
7;1159;32323;3681;
7;1854;15033;1518;
7;1855;13724;1237;
7;1861;14044;1164;
7;1913;32211;2374;
7;1925;15963;1396;
8;259;15671;1799;
8;275;17624;2325;
8;322;16139;2113;
9;4;7707;912;
9;7;4110;544;
9;9;0;0;
9;10;3356;533;
9;12;4052;723;
9;13;5063;865;
9;17;4253;670;
9;20;5557;734;
9;24;2084;294;
9;25;3872;537;
9;26;3148;431;
9;27;2063;363;
9;28;2943;432;
9;36;9892;1723;
9;47;3061;448;
9;48;4161;634;
9;50;3764;514;
9;51;4713;605;
9;52;3526;570;
9;53;3850;619;
9;54;4293;612;
9;56;5923;895;
9;67;5439;776;
9;79;7835;1025;
9;92;7843;1015;
9;93;7617;1034;
9;137;10153;1152;
9;145;9593;1053;
9;150;12455;1168;
9;163;12040;1230;
9;167;9984;1069;
9;210;15175;1789;
9;229;13763;1601;
9;230;13198;1514;
9;241;11742;1175;
9;244;13979;1724;
9;259;12431;1347;
9;264;13504;1722;
9;271;19075;2351;
9;275;14384;1873;
9;299;16984;2098;
9;300;16818;2042;
9;304;21403;2317;
9;416;24200;2722;
9;423;25050;2847;
9;458;21251;2418;
9;462;23768;2806;
9;473;23707;2558;
9;475;22898;2396;
9;526;25233;2904;
9;527;25420;2973;
9;530;27774;3427;
9;540;26061;2843;
9;547;27209;3445;
9;560;29019;3664;
9;650;28218;3557;
9;661;27666;3374;
9;714;33028;4420;
9;743;36355;4420;
9;752;35575;4167;
9;836;7106;1084;
9;849;10174;1050;
9;855;2846;393;
9;908;30888;3288;
9;912;31501;2171;
9;913;31243;2328;
9;951;23405;2734;
9;952;17858;1786;
9;960;10627;1218;
9;997;18580;2022;
9;1006;27986;3502;
9;1009;7787;883;
9;1023;1950;296;
9;1024;10983;1122;
9;1043;9796;1304;
9;1048;17372;2136;
9;1069;5479;1039;
9;1070;10877;1504;
9;1142;4541;759;
9;1155;11042;1129;
9;1611;27973;3310;
9;1913;36040;2802;
9;1919;23097;1950;
9;1932;38901;3003;
10;4;5451;715;
10;6;4105;727;
10;7;1854;347;
10;9;2894;522;
10;10;0;0;
10;11;4217;701;
10;22;6014;867;
10;26;4576;633;
10;27;3490;564;
10;28;5666;731;
10;33;8740;1318;
10;40;10856;1757;
10;47;4488;650;
10;49;3944;568;
10;53;5277;821;
10;55;6606;931;
10;62;6344;892;
10;65;5735;767;
10;69;8514;939;
10;71;8502;1072;
10;72;7053;910;
10;73;7813;1084;
10;86;10446;1314;
10;89;8004;936;
10;93;9044;1235;
10;95;11041;1302;
10;120;16109;2222;
10;124;16620;1987;
10;144;12055;1306;
10;152;14741;1467;
10;161;21134;2872;
10;167;11411;1270;
10;204;17507;2075;
10;227;15075;1853;
10;241;13169;1377;
10;242;13763;1533;
10;247;13868;1575;
10;255;15505;1944;
10;259;13859;1549;
10;271;20502;2553;
10;272;19070;2433;
10;290;16566;1791;
10;294;18798;2155;
10;304;22830;2518;
10;322;19631;2304;
10;327;19604;2211;
10;338;18717;1917;
10;339;18249;1876;
10;341;19286;2121;
10;401;26550;3218;
10;413;26575;3181;
10;458;22679;2620;
10;794;17951;1330;
10;851;11824;1477;
10;854;9220;1235;
10;855;4942;744;
10;907;16227;1634;
10;956;2591;485;
10;993;21524;2397;
10;1001;40592;4853;
10;1011;3010;470;
10;1012;3571;659;
10;1022;5874;789;
10;1059;6564;912;
10;1850;15935;1466;
10;1858;16229;1645;
10;1940;48131;4962;
11;4;6276;777;
11;7;2679;409;
11;9;2425;469;
11;10;1626;367;
11;11;0;0;
11;12;2736;652;
11;13;3748;794;
11;16;2581;615;
11;19;3952;705;
11;20;3572;675;
11;21;4302;773;
11;22;5069;760;
11;23;1711;431;
11;24;2567;388;
11;25;4354;631;
11;26;3631;525;
11;28;4243;650;
11;45;6104;923;
11;48;4644;729;
11;56;5111;891;
11;58;6117;1126;
11;61;6220;929;
11;92;8325;1110;
11;147;11056;1393;
11;154;11732;1586;
11;161;20189;2765;
11;186;16363;2044;
11;207;14832;1688;
11;253;14763;1974;
11;289;17890;1949;
11;298;18547;1981;
11;384;21801;2427;
11;436;21948;2410;
11;463;23961;2795;
11;480;23051;2459;
11;751;37165;4441;
11;755;37198;4490;
11;956;3415;546;
11;993;20579;2290;
11;1001;39647;4746;
11;1017;10214;1164;
11;1070;9445;1368;
11;1150;34738;4383;
11;1617;28942;3392;
11;1827;36599;3703;
11;1932;37470;2867;
12;7;2992;532;
12;9;3662;739;
12;11;1830;481;
12;12;0;0;
12;13;1632;363;
12;20;2310;445;
12;23;1865;494;
12;26;5207;832;
12;27;3783;727;
12;53;5232;904;
12;55;3038;547;
12;57;3763;692;
12;59;4472;844;
12;60;4770;826;
12;77;5605;970;
12;83;7755;1422;
12;292;18096;2188;
12;304;23123;2681;
12;305;23326;2875;
12;547;28929;3809;
12;576;26890;3267;
12;685;34515;4765;
12;755;38436;4760;
12;761;40982;4967;
12;838;7540;1282;
12;906;13944;2120;
12;926;15263;2434;
12;956;2209;423;
12;1858;16324;1721;
13;9;5109;993;
13;11;3277;735;
13;12;1632;396;
13;13;0;0;
13;14;908;203;
13;17;2486;448;
13;20;3120;525;
13;21;3851;622;
13;41;12238;1884;
13;47;6227;1066;
13;51;6510;1088;
13;52;5748;927;
13;55;3848;626;
13;56;4659;740;
13;58;5665;976;
13;73;7323;1222;
13;75;7694;1386;
13;77;6415;1050;
13;79;6562;1020;
13;88;10210;1409;
13;98;15003;2289;
13;107;13330;2150;
13;147;10250;1513;
13;155;9725;1546;
13;171;13694;1879;
13;172;14003;1853;
13;195;24693;3256;
13;234;15704;1960;
13;241;14908;1793;
13;247;15608;1991;
13;275;17551;2491;
13;323;24370;2926;
13;327;21343;2627;
13;725;33929;4488;
13;728;32818;4213;
13;761;42429;5220;
13;767;37888;4858;
13;787;42201;5355;
13;793;19390;2730;
13;842;16828;2218;
13;911;36938;2503;
13;914;20203;2399;
13;956;3074;554;
13;982;27183;3434;
13;1001;42331;5270;
13;1076;26558;3003;
13;1141;1440;293;
13;1152;37364;5304;
13;1853;17436;1862;
14;7;4953;761;
14;13;908;203;
14;14;0;0;
14;16;1871;341;
14;18;877;129;
14;19;2832;412;
14;20;2452;382;
14;29;7267;1041;
14;51;5843;946;
14;52;5081;785;
14;56;3992;598;
14;57;3905;630;
14;58;4997;834;
14;59;4614;782;
14;75;7026;1243;
14;81;6172;919;
14;87;10005;1515;
14;138;12974;1562;
14;155;9057;1404;
14;158;11035;1856;
14;163;15399;1744;
14;200;19637;2610;
14;244;14268;2139;
14;255;17438;2256;
14;258;15245;1742;
14;276;16328;2594;
14;281;19334;2319;
14;321;21405;2563;
14;343;18925;2538;
14;456;24142;2799;
14;459;27433;3137;
14;477;24707;2943;
14;604;30660;3909;
14;611;29835;3683;
14;849;13534;1564;
14;952;21218;2300;
14;1141;721;198;
15;18;2174;292;
15;20;1893;284;
15;27;3505;635;
15;53;4815;743;
15;55;2621;386;
15;102;12302;1495;
15;154;8627;1378;
15;795;27681;4447;
16;7;3795;592;
16;11;1708;394;
16;13;2758;556;
16;14;2764;434;
16;16;0;0;
16;17;972;214;
16;20;1606;290;
16;25;4720;745;
16;26;4503;677;
16;52;4234;693;
16;58;4151;741;
16;83;7051;1267;
16;279;19722;2250;
16;535;28591;3740;
16;795;27394;4453;
17;3;8648;1005;
17;9;5547;915;
17;13;3127;519;
17;17;0;0;
17;20;1301;232;
17;21;2032;329;
17;26;4198;619;
17;49;5017;709;
17;52;3930;634;
17;55;2029;333;
17;66;7347;1083;
17;86;6193;935;
17;99;10407;1620;
17;143;11328;1279;
17;145;12056;1436;
17;146;11020;1375;
17;178;14115;1814;
17;217;15903;1788;
17;218;15911;1774;
17;246;14990;1793;
17;264;12381;1890;
17;288;19980;2145;
17;294;19834;2337;
17;322;19557;2551;
17;453;23484;2792;
17;459;26537;3007;
17;499;27162;3252;
17;655;30241;3871;
17;708;30735;3849;
17;782;37337;4393;
17;851;9644;1609;
17;908;30933;3423;
17;926;15759;2379;
17;1156;8728;1024;
17;1930;36155;2948;
18;14;877;135;
18;15;1650;320;
18;19;1955;283;
18;25;4690;708;
18;54;3319;515;
18;55;2303;355;
18;56;3115;469;
18;150;14938;1553;
18;456;23265;2670;
18;1070;11127;1662;
19;11;3166;599;
19;14;1910;317;
19;18;1033;182;
19;56;3688;567;
19;154;8882;1445;
19;855;6719;999;
20;9;4826;786;
20;11;2993;528;
20;12;2105;348;
20;13;2406;390;
20;14;1738;246;
20;15;2051;347;
20;16;1394;239;
20;17;1342;204;
20;20;0;0;
20;21;2707;378;
20;33;10204;1474;
20;45;8004;1158;
20;51;5366;843;
20;52;4604;682;
20;53;4899;739;
20;54;3719;542;
20;55;2704;382;
20;56;3516;496;
20;57;3429;527;
20;69;9970;1148;
20;71;7608;1233;
20;75;6550;1141;
20;86;6868;983;
20;87;9529;1413;
20;96;12470;1510;
20;107;12186;1906;
20;141;11407;1324;
20;142;12606;1580;
20;144;13511;1516;
20;146;11440;1402;
20;147;9106;1268;
20;151;10036;1554;
20;152;9165;1379;
20;153;7857;1165;
20;155;8581;1301;
20;163;14923;1642;
20;167;12867;1480;
20;242;15219;1743;
20;251;15401;2262;
20;255;16961;2154;
20;258;14769;1640;
20;259;11790;1833;
20;263;12055;1816;
20;272;16649;2359;
20;275;17267;2284;
20;276;15852;2492;
20;278;20932;2339;
20;285;18568;2116;
20;300;19701;2453;
20;328;21695;2533;
20;340;19991;2158;
20;344;20818;2348;
20;350;23241;2482;
20;351;22876;2536;
20;362;23563;2647;
20;531;29585;3616;
20;618;28303;3379;
20;754;38826;4698;
20;795;27764;4443;
20;839;11601;1684;
20;851;10319;1658;
20;1024;11633;1307;
20;1028;10737;1550;
20;1043;10447;1490;
20;1702;42928;4629;
20;1857;16998;1728;
21;13;3666;621;
21;16;2654;470;
21;17;2602;435;
21;20;1550;272;
21;27;3787;662;
21;58;3623;694;
21;62;4092;869;
21;76;6751;1204;
21;93;8570;1305;
21;196;20105;2683;
21;207;14199;1893;
21;222;13417;1497;
21;322;18053;2401;
21;655;28736;3721;
21;665;32452;4008;
21;693;32555;4390;
21;703;31009;3974;
21;913;32153;2499;
21;934;20296;1939;
21;997;19539;2256;
21;1043;10706;1476;
22;10;3756;606;
22;11;4036;648;
22;25;2401;438;
22;54;3185;628;
22;57;5430;967;
22;58;6522;1171;
22;245;13096;1593;
22;298;18513;2022;
22;304;20742;2517;
22;328;19260;2258;
22;725;31211;4006;
22;997;19028;2158;
22;1018;13454;1296;
22;1043;10196;1377;
23;7;3206;498;
23;9;2952;558;
23;11;1119;300;
23;12;1797;442;
23;23;0;0;
23;26;4158;614;
23;29;4909;764;
23;52;4536;753;
23;53;4859;802;
23;57;4085;712;
23;58;5177;916;
23;59;4794;864;
23;60;5092;846;
23;68;6980;853;
23;71;8084;1053;
23;76;9242;1217;
23;82;6606;1094;
23;87;10185;1598;
23;137;11162;1335;
23;143;9874;1079;
23;151;10692;1739;
23;153;8513;1350;
23;155;9237;1486;
23;165;12463;1287;
23;244;14989;1907;
23;318;20234;2499;
23;329;21430;2362;
23;342;19575;2285;
23;519;25551;2966;
23;540;27071;3027;
23;849;11184;1233;
23;852;10032;1221;
23;913;30338;2281;
23;997;19589;2205;
23;1028;8856;1375;
24;7;3112;502;
24;9;2858;563;
24;11;1026;305;
24;25;4788;725;
24;26;4064;619;
24;28;4676;744;
24;51;5629;793;
24;52;4442;758;
24;54;5209;800;
24;58;5669;1003;
24;75;9090;1236;
24;94;8905;1360;
24;137;11068;1340;
24;161;20622;2859;
24;246;13442;1597;
24;275;15300;2061;
24;276;16773;2326;
24;311;25190;2948;
24;321;18961;2237;
24;411;25640;3090;
24;454;20946;2386;
24;636;27084;3374;
24;846;15679;1702;
24;977;26904;3355;
24;990;23743;2653;
24;1001;40080;4840;
24;1021;7210;1012;
24;1024;9985;1080;
24;1857;16676;1680;
25;7;2802;393;
25;9;3843;568;
25;11;2329;424;
25;16;3728;697;
25;22;4722;742;
25;24;1916;305;
25;25;0;0;
25;26;1247;300;
25;27;2615;508;
25;30;3999;759;
25;42;7254;1332;
25;48;3702;683;
25;50;3549;567;
25;52;3661;647;
25;53;3985;696;
25;54;4428;689;
25;55;5313;806;
25;59;6353;1126;
25;69;6873;818;
25;75;7961;1129;
25;87;10296;1407;
25;88;6830;872;
25;89;6364;816;
25;136;11628;1440;
25;139;10418;1234;
25;141;8310;994;
25;143;8651;977;
25;147;10361;1380;
25;153;10091;1384;
25;154;11036;1573;
25;155;10815;1521;
25;156;12105;1655;
25;164;10850;1182;
25;168;10861;1169;
25;181;12506;1712;
25;220;13613;1478;
25;222;12245;1344;
25;226;13078;1494;
25;245;12434;1538;
25;248;13538;1798;
25;254;13238;1696;
25;256;12328;1450;
25;261;12249;1448;
25;271;18862;2432;
25;274;15047;2061;
25;275;14171;1954;
25;276;15644;2219;
25;277;18797;2258;
25;279;17911;2053;
25;286;15486;1857;
25;298;17851;1968;
25;301;14930;1988;
25;306;18172;2320;
25;326;20192;2491;
25;327;17963;2090;
25;336;16394;1758;
25;339;16608;1755;
25;342;18353;2183;
25;348;20097;2341;
25;352;19188;2081;
25;355;19404;2186;
25;356;17865;2089;
25;357;18476;2005;
25;363;19426;2048;
25;364;18938;2065;
25;371;19484;2106;
25;412;23147;2989;
25;433;20136;2212;
25;438;21275;2443;
25;447;22964;2697;
25;455;21483;2439;
25;458;21038;2500;
25;477;21134;2511;
25;526;23911;3050;
25;588;23439;2910;
25;629;27634;3513;
25;634;24824;2984;
25;679;28383;3708;
25;691;30100;4033;
25;759;38133;4510;
25;848;13542;1799;
25;851;10183;1357;
25;852;8809;1119;
25;855;4476;656;
25;911;36978;2334;
25;912;30193;2020;
25;926;13082;2076;
25;978;28255;3778;
25;996;17468;2347;
25;1014;3720;513;
25;1023;4335;648;
25;1025;9012;1401;
25;1070;9569;1353;
25;1150;34043;4370;
25;1152;33984;4767;
25;1502;31090;3848;
25;1844;23112;2018;
25;1857;16367;1571;
25;1861;16566;1441;
25;1914;20701;1943;
26;7;2796;397;
26;9;3837;572;
26;10;2042;386;
26;11;2322;428;
26;12;3878;739;
26;13;4889;880;
26;17;4079;685;
26;23;2435;494;
26;24;1910;309;
26;25;807;190;
26;26;0;0;
26;27;2173;428;
26;46;2980;608;
26;48;3260;603;
26;52;3219;566;
26;55;4871;725;
26;56;5616;891;
26;58;7323;1152;
26;67;4782;749;
26;77;6214;903;
26;83;9527;1310;
26;87;9854;1326;
26;89;5922;735;
26;94;6837;1113;
26;133;9403;1146;
26;140;7530;939;
26;145;8938;1053;
26;187;15204;2170;
26;220;13171;1397;
26;245;11993;1457;
26;252;13786;1832;
26;298;17409;1887;
26;336;15952;1677;
26;355;18962;2105;
26;361;20072;2129;
26;364;18496;1985;
26;374;21346;2353;
26;386;22185;2503;
26;406;24893;3173;
26;413;23383;3045;
26;462;23113;2806;
26;556;27014;3644;
26;627;26619;3277;
26;629;27192;3432;
26;663;27342;3440;
26;675;27638;3475;
26;686;28758;3773;
26;694;31713;4146;
26;720;31589;4295;
26;728;28996;3596;
26;755;36061;4396;
26;779;33455;3961;
26;783;35509;4286;
26;843;18697;2042;
26;852;8368;1038;
26;907;17169;1684;
26;933;35398;4199;
26;959;4526;489;
26;997;17925;2022;
26;1001;38510;4652;
26;1006;26221;3567;
26;1024;9669;975;
26;1043;8482;1158;
26;1070;9563;1357;
26;1147;24317;3245;
26;1156;9736;978;
26;1521;28226;3563;
27;7;4051;627;
27;9;1893;437;
27;10;3297;616;
27;12;3993;806;
27;15;3030;577;
27;21;4877;765;
27;25;3257;547;
27;26;2534;441;
27;27;0;0;
27;28;1781;343;
27;36;9370;1767;
27;43;5676;1152;
27;45;3594;770;
27;47;2446;458;
27;48;3547;644;
27;49;1902;377;
27;50;3150;524;
27;52;2912;580;
27;53;3235;629;
27;57;5923;962;
27;58;7015;1166;
27;65;3693;575;
27;67;4825;786;
27;69;6472;747;
27;87;9895;1335;
27;94;6219;1157;
27;107;7636;1468;
27;115;10493;2003;
27;134;9581;1170;
27;135;10491;1354;
27;138;9000;1058;
27;139;10017;1163;
27;141;7909;923;
27;144;10013;1114;
27;146;7942;1001;
27;152;12699;1275;
27;160;18560;2586;
27;161;19092;2680;
27;163;11425;1240;
27;164;10449;1111;
27;167;9369;1079;
27;172;10222;1245;
27;181;13214;1576;
27;192;17974;2380;
27;201;17534;2148;
27;217;12825;1414;
27;229;13148;1611;
27;241;11127;1185;
27;267;18564;2436;
27;271;18460;2361;
27;277;18395;2187;
27;279;17509;1982;
27;298;17450;1896;
27;299;16369;2108;
27;304;20788;2327;
27;322;17589;2112;
27;323;20589;2318;
27;326;19791;2420;
27;327;17562;2019;
27;352;18786;2009;
27;360;17828;1904;
27;371;19082;2034;
27;396;22838;2595;
27;401;24508;3026;
27;402;23389;2743;
27;410;23603;2802;
27;434;19821;2153;
27;439;20426;2261;
27;447;22562;2626;
27;454;19415;2208;
27;457;21480;2501;
27;458;20637;2428;
27;459;23459;2633;
27;462;23153;2816;
27;500;24015;2848;
27;502;21842;2511;
27;503;21371;2494;
27;509;22533;2553;
27;527;24805;2983;
27;530;27160;3437;
27;542;26803;3175;
27;611;25860;3179;
27;641;27406;3496;
27;657;26370;3323;
27;660;27078;3353;
27;664;30490;3624;
27;667;31875;3959;
27;669;29303;3787;
27;684;32139;4371;
27;701;33028;4345;
27;728;29037;3605;
27;737;31927;3769;
27;740;34312;4027;
27;743;35740;4430;
27;745;35711;4284;
27;755;36101;4406;
27;767;34107;4250;
27;768;30493;3852;
27;771;35181;4352;
27;776;33500;4045;
27;785;36497;4333;
27;786;36843;4493;
27;838;5205;928;
27;849;9560;1060;
27;855;2479;462;
27;905;31455;3531;
27;907;18424;1913;
27;908;30829;3371;
27;912;31442;2254;
27;913;31184;2411;
27;954;20386;2399;
27;955;19011;2261;
27;979;25530;3192;
27;997;17965;2032;
27;1024;10924;1205;
27;1065;7537;1218;
27;1152;33583;4696;
27;1159;30348;3545;
27;1604;26227;3153;
27;1608;26885;3294;
27;1931;35341;2783;
28;9;2689;402;
28;10;5163;732;
28;11;4597;697;
28;24;3892;492;
28;27;1790;334;
28;28;0;0;
28;29;1128;237;
28;40;6271;1209;
28;41;5046;935;
28;52;4162;681;
28;72;6585;872;
28;86;9853;1343;
28;88;7878;1022;
28;92;6902;1123;
28;99;5862;987;
28;134;8988;1269;
28;139;8918;1313;
28;155;11862;1670;
28;167;10818;1299;
28;171;11362;1492;
28;182;11393;1617;
28;195;18334;2457;
28;245;13482;1688;
28;319;15297;2009;
28;322;15011;1921;
28;338;18124;1946;
28;364;19985;2215;
28;507;23511;2764;
28;542;23668;2980;
28;626;27286;3346;
28;670;27673;3474;
28;836;5086;860;
28;855;832;152;
28;1014;6835;862;
28;1034;21119;2583;
28;1043;11604;1503;
28;1142;2526;518;
28;1156;12857;1323;
29;14;6832;946;
29;23;4940;781;
29;28;1888;313;
29;245;12799;1545;
29;262;12386;1401;
29;500;24781;2926;
29;836;3906;688;
29;926;10383;1717;
29;954;16628;2033;
29;1024;12174;1263;
29;1028;4686;840;
29;1043;10988;1445;
29;1142;3599;653;
30;25;4244;710;
30;43;3722;692;
30;45;1773;356;
30;47;2419;535;
30;60;7047;1050;
30;107;6332;1059;
30;143;9562;1150;
30;286;16397;2030;
30;310;21389;2591;
30;342;19263;2356;
30;355;20314;2359;
30;454;20727;2452;
30;627;24785;2973;
30;837;3644;712;
30;951;19203;2429;
30;997;16546;2159;
30;1142;3839;722;
30;1152;32116;4440;
32;115;6386;1378;
32;386;20308;2483;
32;840;2342;422;
32;1066;2286;646;
33;7;8678;1245;
33;10;7924;1233;
33;20;8760;1301;
33;33;0;0;
33;35;6974;1462;
33;36;4116;866;
33;38;2937;639;
33;40;2516;575;
33;41;1631;382;
33;42;4830;1004;
33;43;4311;861;
33;52;6730;1137;
33;89;10105;1382;
33;96;6936;1043;
33;102;8701;1254;
33;106;3566;859;
33;109;3052;662;
33;110;3028;696;
33;122;7539;1329;
33;148;12474;2034;
33;154;13068;2086;
33;171;10330;1613;
33;255;16623;2395;
33;259;15960;1995;
33;275;17912;2521;
33;293;18679;2314;
33;318;13216;2061;
33;322;14991;2003;
33;414;19491;3039;
33;482;26052;3164;
33;563;26293;3613;
33;598;28352;3929;
33;617;25697;3232;
33;677;27615;3447;
33;678;28556;3564;
33;725;29671;3830;
33;749;39066;4910;
33;784;33183;4368;
33;795;31741;4875;
33;800;118841;12907;
33;836;2843;572;
33;837;4618;990;
33;840;2690;540;
33;855;4871;828;
33;908;35457;3989;
33;926;9509;1796;
33;933;33001;4264;
33;996;15579;2103;
33;997;17536;2365;
33;1028;2032;423;
33;1046;4058;916;
33;1065;2694;683;
33;1066;1444;437;
34;40;3681;766;
34;48;7167;1274;
34;88;11951;1674;
34;168;15982;1971;
34;527;25736;3395;
35;33;6929;1514;
35;87;17840;2709;
35;167;17315;2452;
35;906;3973;780;
35;926;5292;1094;
36;9;10517;1808;
36;12;14363;2360;
36;27;9695;1782;
36;33;4205;875;
36;36;0;0;
36;37;2071;442;
36;38;1825;388;
36;40;2659;533;
36;41;3543;803;
36;52;10517;1889;
36;69;11499;1648;
36;89;9988;1648;
36;94;8138;1215;
36;95;8346;1315;
36;96;7770;1172;
36;107;3738;800;
36;109;2924;613;
36;110;1949;466;
36;114;3275;692;
36;115;2985;644;
36;135;10550;1550;
36;136;10535;1516;
36;140;9949;1554;
36;143;12189;1774;
36;151;15274;2455;
36;152;13952;2170;
36;153;13460;2041;
36;164;13166;1983;
36;166;13865;2242;
36;167;11633;1836;
36;171;11164;1742;
36;175;12386;1783;
36;178;11096;1636;
36;205;13116;1759;
36;206;12586;1722;
36;216;12760;1823;
36;227;14809;2179;
36;230;15482;2220;
36;247;15299;2272;
36;255;16664;2500;
36;259;13560;2205;
36;275;17533;2718;
36;276;18751;2914;
36;277;20167;2859;
36;281;17115;2499;
36;285;16825;2398;
36;289;18716;2516;
36;320;13609;2085;
36;370;21433;2837;
36;385;19038;2421;
36;414;19675;3032;
36;419;20455;2546;
36;433;21507;2812;
36;454;22088;2932;
36;461;24017;3272;
36;477;23405;3163;
36;530;21219;3427;
36;593;26688;3763;
36;634;27924;3553;
36;711;28376;3620;
36;782;32656;4204;
36;848;16370;2499;
36;849;12008;1859;
36;855;8659;1580;
36;948;23666;3087;
36;1028;4155;825;
36;1859;19920;3040;
37;36;2355;498;
37;37;0;0;
37;41;4146;811;
37;75;13190;1968;
37;82;14098;2102;
37;93;9630;1385;
37;99;6463;1086;
37;106;4178;962;
37;107;3679;808;
37;108;3949;735;
37;109;2575;518;
37;110;2185;408;
37;114;1975;449;
37;115;1433;323;
37;117;1661;394;
37;145;12972;1910;
37;234;14433;2088;
37;245;15354;2347;
37;258;14249;2175;
37;277;19864;2858;
37;279;18978;2653;
37;318;13096;2053;
37;333;17504;2314;
37;540;23935;2945;
37;668;31197;4116;
37;837;7239;1289;
37;838;9959;1389;
37;840;5893;1056;
37;996;17016;2240;
37;1150;34602;4386;
37;1850;27873;3167;
38;33;2682;617;
38;36;1818;388;
38;39;794;199;
38;711;28107;3568;
39;38;794;186;
39;107;2706;521;
39;108;2477;498;
39;115;3425;692;
39;117;4346;888;
39;143;11322;1546;
39;192;11377;1739;
39;219;15218;1982;
39;244;16527;2425;
39;259;12692;1977;
39;277;19135;2581;
39;304;13437;1855;
39;384;19895;2461;
39;454;21056;2654;
39;836;3607;671;
39;1028;2419;457;
40;10;9870;1646;
40;28;6119;1173;
40;33;2364;535;
40;34;3349;711;
40;36;2276;489;
40;40;0;0;
40;43;5531;969;
40;54;9443;1592;
40;99;5062;895;
40;106;3275;721;
40;111;2787;534;
40;114;2978;613;
40;115;3201;648;
40;117;4122;844;
40;118;4793;973;
40;153;12662;1858;
40;185;8254;1174;
40;190;10682;1631;
40;195;12838;2059;
40;204;9578;1440;
40;237;15150;2163;
40;253;15906;2404;
40;277;19205;2626;
40;292;15419;2082;
40;294;16837;2329;
40;302;10932;1686;
40;309;15435;2212;
40;318;12437;1821;
40;319;12003;1762;
40;363;19834;2416;
40;410;17068;2532;
40;627;25811;3125;
40;636;28258;3655;
40;679;29574;3786;
40;768;28092;3854;
40;836;4083;788;
40;839;8013;1182;
40;840;3931;756;
40;906;8445;1363;
40;926;9764;1677;
40;991;17399;2209;
