zat_ori;zat_des;distance_m;duration_s;error_api
1;48;6668;1293;
1;134;11998;1892;
1;150;16863;2071;
1;1070;5396;1191;
2;196;25813;3326;
2;571;41724;5054;
2;1854;6061;1340;
2;1919;16670;2381;
3;17;7481;924;
3;1156;1143;264;
4;7;8281;976;
4;9;5638;752;
4;10;7527;965;
4;11;6960;930;
4;42;11885;1756;
4;87;14681;1757;
4;89;10748;1166;
4;146;12728;1423;
4;322;22375;2533;
4;386;27011;2934;
4;908;35059;3720;
4;913;35414;2759;
4;997;22751;2453;
4;1024;15154;1554;
4;1043;13967;1736;
4;1070;15048;1935;
4;1850;22362;2094;
6;1001;43265;5189;
6;1035;27965;3258;
7;4;3878;484;
7;7;0;0;
7;9;2827;466;
7;10;4716;679;
7;11;4149;645;
7;12;2992;558;
7;13;3857;660;
7;14;4702;832;
7;16;3666;720;
7;23;3969;624;
7;24;3445;439;
7;25;5232;682;
7;26;4508;577;
7;27;3423;508;
7;33;8673;1262;
7;42;9074;1470;
7;46;5438;836;
7;52;4886;716;
7;53;5210;765;
7;56;6196;997;
7;58;7202;1232;
7;61;7098;981;
7;63;6299;834;
7;65;5668;711;
7;69;8446;883;
7;77;8230;1076;
7;87;11869;1471;
7;89;7937;880;
7;91;8921;1129;
7;92;9203;1161;
7;93;8977;1179;
7;94;9350;1317;
7;95;10974;1246;
7;107;10655;1693;
7;114;13289;2193;
7;117;14433;2423;
7;128;15586;1768;
7;130;14790;1663;
7;140;9545;1084;
7;141;9884;1058;
7;143;10224;1041;
7;144;11987;1250;
7;146;9917;1137;
7;148;11967;1484;
7;153;11664;1449;
7;155;12388;1585;
7;158;15438;1670;
7;167;11344;1214;
7;172;12197;1381;
7;173;13721;1468;
7;176;14984;1775;
7;209;16680;1865;
7;220;15186;1542;
7;221;14443;1476;
7;225;14146;1617;
7;230;14558;1659;
7;233;13659;1477;
7;239;14805;1749;
7;242;13695;1477;
7;247;13801;1519;
7;254;14812;1761;
7;255;15438;1888;
7;256;13901;1515;
7;261;13822;1513;
7;275;15744;2019;
7;276;17217;2283;
7;282;16578;1762;
7;288;18876;1907;
7;293;17846;1836;
7;294;18731;2099;
7;295;17410;1852;
